80
150
-72,28
35,26
16,3
-44,-14
50,-62
39,34
47,-10
63,53
-58,-7
-38,-1
30,2
36,34
-37,-11
27,32
-72,-22
5,-22
75,55
-21,7
49,-2
68,-47
-11,-71
-72,-79
-28,22
-45,8
-47,-39
-58,-12
-20,-80
-37,-45
-62,29
-56,-65
-64,-60
-66,-48
40,-17
-49,-21
-64,32
76,-55
45,4
54,-3
-7,56
42,48
-76,-58
-57,15
76,-1
-74,67
-64,-4
-16,15
13,33
-9,-36
50,-13
9,-19
23,-43
-52,-60
-65,-43
-38,41
-25,-58
-1,-17
-59,49
-57,-16
51,-21
-78,-47
-53,-63
50,-74
45,68
-8,41
67,33
-14,-66
-48,63
14,41
9,18
67,-77
67,-73
-55,13
37,5
19,-70
46,15
-54,-45
12,44
34,1
63,32
4,-36
36,-47
68,-53
56,-51
53,-47
-40,37
37,47
-45,28
63,56
23,29
-68,75
7,50
15,-42
45,-59
-9,-45
-14,2
-31,75
78,-9
-58,-21
7,17
-52,-39
49,-23
-73,30
-10,-27
62,-75
65,4
-53,76
54,27
76,31
62,-14
-70,34
41,-68
-16,-1
67,-14
24,-44
-58,36
-19,-14
-48,27
34,45
-14,-20
-19,-45
-26,36
70,50
-80,-16
67,-43
-49,79
61,-13
10,33
79,-61
-57,30
-8,-21
-71,-63
-65,-74
-46,-50
23,53
-52,66
56,68
18,52
8,-5
-72,24
44,7
32,72
-65,16
38,68
-47,-66
-40,12
-65,-45
-38,-57
-38,46
7,-44
11,-45
